ID,Team,Status,Roles,HaveSettings,Hero,TwitchStream
Alarm,Philadelphia Fusion,Active,Support,TRUE,Ana,https://www.twitch.tv/alarmo1
Ameng,Chengdu Hunters,Active,Tank,TRUE,Orisa,
Anamo,Seoul Dynasty,Active,Support,TRUE,Mercy,https://www.twitch.tv/anamo_ow
ANSOONJAE,Toronto Defiant,Active,Support,TRUE,Lúcio,https://www.twitch.tv/ansoonjae__
Architect,Hangzhou Spark,Active,Damage,TRUE,Genji,https://www.twitch.tv/architect_ow
Aspire,Toronto Defiant,Active,Damage,TRUE,Tracer,https://www.twitch.tv/owaspire
Assassin,Washington Justice,Active,Damage,FALSE,Widowmaker,
Aztac,Toronto Defiant,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/aztac99
Beast,Toronto Defiant,Active,Tank,TRUE,Winston,https://www.twitch.tv/bstzin
BeBe,Washington Justice,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/bebe0203
BERNAR,Hangzhou Spark,Active,Tank,TRUE,D.Va,https://www.twitch.tv/bernarow
BiaNcA,New York Excelsior,Active,Tank,TRUE,D.Va,https://www.twitch.tv/ow_bianca
birdring,Los Angeles Gladiators,Active,Damage,TRUE,Widowmaker,https://www.twitch.tv/birdring_ow
blasé,London Spitfire,Active,Damage,TRUE,Doomfist,https://www.twitch.tv/blase
BQB,Florida Mayhem,Active,Damage,TRUE,Sombra,https://www.twitch.tv/bqb_ow
Carpe,Philadelphia Fusion,Active,Damage,TRUE,McCree,https://www.twitch.tv/carpe
ChangSik,Vancouver Titans,Active,Tank,TRUE,Winston,https://www.twitch.tv/changsik_ow
Checkmate,Florida Mayhem,Active,Damage,FALSE,Genji,
ChoiHyoBin,San Francisco Shock,Active,Tank,TRUE,D.Va,https://www.twitch.tv/choihyobin_ow
ChoiSehwan,Guangzhou Charge,Active,Damage,TRUE,Genji,https://www.twitch.tv/choisehwan
Closer,Washington Justice,Active,Support,TRUE,Mercy,https://www.twitch.tv/closerow
ColdEst,Hangzhou Spark,Active,Support,FALSE,Zenyatta,
Colourhex,Boston Uprising,Active,Damage,TRUE,Pharah,https://www.twitch.tv/colourhex
Cr0ng,Guangzhou Charge,Active,Tank,TRUE,Sigma,https://www.twitch.tv/ow_cr0ng
Creative,Seoul Dynasty,Active,Support,TRUE,Ana,https://www.twitch.tv/creative01
Crimzo,Houston Outlaws,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/Crimzo
Daan,Paris Eternal,Active,Tank,TRUE,Orisa,https://www.twitch.tv/daan_ow
Dalton,Vancouver Titans,Active,Damage,TRUE,Tracer,https://www.twitch.tv/DaltonOW
Danteh,Houston Outlaws,Active,Damage,TRUE,Sombra,https://www.twitch.tv/Danteh
Decay,Washington Justice,Active,Damage,TRUE,Tracer,https://www.twitch.tv/decay012
Doha,Dallas Fuel,Active,Damage,TRUE,Sombra,https://www.twitch.tv/dohaow
Dreamer,Houston Outlaws,Active,Tank,TRUE,Reinhardt,https://www.twitch.tv/dreamer_ow_
dridro,Paris Eternal,Active,Support,TRUE,Mercy,https://www.twitch.tv/dridro
Edison,Atlanta Reign,Active,Damage,TRUE,Tracer,https://www.twitch.tv/edison1_ow
Eileen,Guangzhou Charge,Active,Damage,TRUE,Genji,https://www.twitch.tv/eileenzh
Elsa,Chengdu Hunters,Active,Tank,TRUE,D.Va,
Eqo,Philadelphia Fusion,Active,Damage,TRUE,Genji,https://www.twitch.tv/eqobot
