Player,IsProfessional,Role,Hero,MouseModel,MouseWeight,MouseWeightToSizeRatio,DPI,Sensitivity,eDPI,cmPer360,TwitchStream
ameng,TRUE,Tank,Orisa,Logitech G Pro Wireless,80,1.08,800,6.00,4800,28.88,
Guxue,TRUE,Tank,Winston,Logitech G903,111,1.26,1600,9.99,15984,8.67,
Poko,TRUE,Tank,D.Va,Logitech G703,95,1.28,800,12.50,10000,13.86,https://www.twitch.tv/poko
HOTBA,TRUE,Tank,D.Va,Logitech G900,107,1.50,800,12.01,9608,14.43,https://www.twitch.tv/hotba_ow
Smurf,TRUE,Tank,Winston,Logitech G Pro X Superlight,60,0.81,800,6.00,4800,28.88,https://www.twitch.tv/smurf5
Pine,TRUE,Damage,McCree,SteelSeries Rival 100,120,1.48,500,15.00,7500,18.48,https://www.twitch.tv/tf2pine
SLIME,TRUE,Support,Lúcio,Logitech G903,111,1.26,1000,7.20,7200,19.25,https://www.twitch.tv/slime
tobi,TRUE,Support,Lúcio,Logitech G Pro Wireless,80,1.08,800,8.50,6800,20.38,https://www.twitch.tv/ow_tobi
Profit,TRUE,Damage,Tracer,Logitech G Pro Wireless,80,1.08,800,8.25,6600,21.00,https://www.twitch.tv/profitow
Closer,TRUE,Support,Mercy,Logitech G903,111,1.26,800,8.00,6400,21.66,https://www.twitch.tv/closerow
Fate,TRUE,Tank,Winston,Logitech G903,111,1.26,1600,4.00,6400,21.66,https://www.twitch.tv/fate_ow
Whoru,TRUE,Damage,Genji,FinalMouse Ultralight Pro,71,0.92,800,7.90,6320,21.93,https://www.twitch.tv/whoru823
super,TRUE,Tank,Reinhardt,Logitech G Pro Wireless,80,1.08,800,7.75,6200,22.35,https://www.twitch.tv/supertf
Marve1,TRUE,Tank,Sigma,Logitech G Pro,85,1.33,1000,6.00,6000,23.10,https://www.twitch.tv/marve1026
Im37,TRUE,Damage,McCree,Logitech G Pro,85,1.33,1600,3.60,5760,24.06,https://www.twitch.tv/im37_ow
Eileen,TRUE,Damage,Genji,Logitech G903,111,1.26,950,6.00,5700,24.32,https://www.twitch.tv/eileenzh
Colourhex,TRUE,Damage,Pharah,Glorious Model O,68,0.94,800,7.00,5600,24.75,https://www.twitch.tv/colourhex
Gesture,TRUE,Tank,Winston,Logitech G Pro Wireless,80,1.08,800,7.00,5600,24.75,https://www.twitch.tv/GestureOW
KSF,TRUE,Damage,Hanzo,Logitech G403,87,1.17,800,7.00,5600,24.75,https://www.twitch.tv/ksf_ow
Krystal,TRUE,Damage,Genji,SteelSeries Kinzu V3,77,1.03,1000,5.50,5500,25.20,
Blasé,TRUE,Damage,Doomfist,Glorious Model O,68,0.94,800,6.50,5200,26.65,https://www.twitch.tv/blase
Yveltal,TRUE,Support,Mercy,Logitech G903,111,1.26,1300,4.00,5200,26.65,https://www.twitch.tv/xzi_ow
Architect,TRUE,Damage,Genji,Logitech G Pro,85,1.33,1600,3.00,4800,28.88,https://www.twitch.tv/architect_ow
Danteh,TRUE,Damage,Sombra,Logitech G Pro Wireless,80,1.08,800,6.00,4800,28.88,https://www.twitch.tv/Danteh
Fleta,TRUE,Damage,Genji,Logitech G Pro Wireless,80,1.08,800,6.00,4800,28.88,https://www.twitch.tv/fleta92
Gator,TRUE,Tank,Reinhardt,Logitech G703,95,1.28,800,6.00,4800,28.88,https://www.twitch.tv/Gator_
